Added Pin To Net: NetName=GHA Pin=Q1-1
Added Pin To Net: NetName=V_BATT Pin=Q1-2
Added Pin To Net: NetName=SHA Pin=Q1-3
Added Pin To Net: NetName=SHA Pin=Q1-3
Added Pin To Net: NetName=SHA Pin=Q1-3
Added Pin To Net: NetName=SHA Pin=Q1-3
Added Pin To Net: NetName=SHA Pin=Q1-3
Added Pin To Net: NetName=GHB Pin=Q2-1
Added Pin To Net: NetName=V_BATT Pin=Q2-2
Added Pin To Net: NetName=SHB Pin=Q2-3
Added Pin To Net: NetName=SHB Pin=Q2-3
Added Pin To Net: NetName=SHB Pin=Q2-3
Added Pin To Net: NetName=SHB Pin=Q2-3
Added Pin To Net: NetName=SHB Pin=Q2-3
Added Pin To Net: NetName=GHC Pin=Q3-1
Added Pin To Net: NetName=V_BATT Pin=Q3-2
Added Pin To Net: NetName=SHC Pin=Q3-3
Added Pin To Net: NetName=SHC Pin=Q3-3
Added Pin To Net: NetName=SHC Pin=Q3-3
Added Pin To Net: NetName=SHC Pin=Q3-3
Added Pin To Net: NetName=SHC Pin=Q3-3
Added Pin To Net: NetName=GLA Pin=Q4-1
Added Pin To Net: NetName=SHA Pin=Q4-2
Added Pin To Net: NetName=SPA Pin=Q4-3
Added Pin To Net: NetName=SPA Pin=Q4-3
Added Pin To Net: NetName=SPA Pin=Q4-3
Added Pin To Net: NetName=SPA Pin=Q4-3
Added Pin To Net: NetName=SPA Pin=Q4-3
Added Pin To Net: NetName=GLB Pin=Q5-1
Added Pin To Net: NetName=SHB Pin=Q5-2
Added Pin To Net: NetName=SPB Pin=Q5-3
Added Pin To Net: NetName=SPB Pin=Q5-3
Added Pin To Net: NetName=SPB Pin=Q5-3
Added Pin To Net: NetName=SPB Pin=Q5-3
Added Pin To Net: NetName=SPB Pin=Q5-3
Added Pin To Net: NetName=GLC Pin=Q6-1
Added Pin To Net: NetName=SHC Pin=Q6-2
Added Pin To Net: NetName=SPC Pin=Q6-3
Added Pin To Net: NetName=SPC Pin=Q6-3
Added Pin To Net: NetName=SPC Pin=Q6-3
Added Pin To Net: NetName=SPC Pin=Q6-3
Added Pin To Net: NetName=SPC Pin=Q6-3
